Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
1.167,0,59.98,94.97105,1.01572906395821,-79.02396,1.01607252329505,0.00512,59.98066,-61.98037,2.66038109266997,-69.47545,1.04276143197145,0.00036,59.98193,129.59083,0.606455817525566,31.86864,1.02168601210473
1.2,0.01,59.981,94.73873,1.01426092486617,-79.24169,1.01613590631373,0.00226,59.98025,-62.20634,2.65921561646617,-69.71094,1.04286047083744,-0.00402,59.9815,129.26866,0.605877979395399,31.64859,1.02175871330574
1.233,0,59.98,94.52567,1.01131705770146,-79.4766,1.01620987929187,0.00516,59.98038,-62.43055,2.65816511033087,-69.94758,1.04292358927909,-0.00963,59.98116,128.95241,0.605544661805939,31.42398,1.02176762247305
1.267,0,59.981,94.2449,1.01205181443864,-79.70196,1.01630497897229,0.01095,59.98095,-62.65734,2.65737047832932,-70.17738,1.0429620129938,-0.01232,59.98095,128.6787,0.605561512928246,31.19634,1.02171971982162
1.3,0,59.98,93.96545,1.01062078366913,-79.93306,1.01629438574955,0.00627,59.98096,-62.88066,2.65662383019732,-70.40542,1.0429561935039,-0.01164,59.98056,128.43683,0.605752313047132,30.96487,1.02164548969669
1.333,0,59.98,93.73008,1.01133528320609,-80.1546,1.01630495281581,0.00059,59.98075,-63.097,2.65606792242846,-70.636,1.04287096139224,-0.01007,59.98025,128.18281,0.605893695158401,30.72903,1.02156160672711
1.367,0.01,59.981,93.52229,1.01061134226017,-80.38569,1.01627323193691,0.00248,59.98066,-63.31812,2.65581264585223,-70.86794,1.04275964916402,-0.00791,59.98018,127.92135,0.605795874990968,30.49143,1.02149190257645
1.4,0,59.98,93.309,1.00913406053794,-80.61679,1.01618870183298,-0.00163,59.98011,-63.5545,2.65513417903425,-71.1047,1.04272532197539,-0.00741,59.97993,127.69247,0.605584279870086,30.25193,1.02145780647854
1.433,0,59.98,93.01758,1.00984413814919,-80.85743,1.01614644657086,-0.00721,59.97975,-63.79156,2.65372280790742,-71.34766,1.04274972611943,-0.00823,59.97958,127.51143,0.605448216020822,30.00837,1.02141588316773
1.467,0,59.98,92.77177,1.00695512676561,-81.08279,1.01614644300635,-0.00518,59.9801,-64.01465,2.65236951937238,-71.58797,1.04269011440291,-0.00704,59.97939,127.3275,0.605313944844143,29.7618,1.02134024044241
1.5,0.01,59.981,92.49707,1.00846784364929,-81.31389,1.01613587337967,-0.00432,59.98003,-64.23252,2.65132259858225,-71.8271,1.04252589505113,-0.00586,59.97928,127.11743,0.605102050944497,29.51361,1.02125173962455
1.533,0,59.979,92.27298,1.005527263051,-81.55644,1.01604078208338,-0.00351,59.98007,-64.48187,2.65103899777917,-72.06705,1.0425262345833,-0.00608,59.97917,126.91576,0.604855020662169,29.26419,1.02116953292871
1.567,0,59.98,92.02117,1.00548011576199,-81.79708,1.01598796291788,0.00257,59.98053,-64.76382,2.65188896360787,-72.30195,1.04275512916407,-0.0068,59.9788,126.80617,0.604706348349051,29.01167,1.02111387289866
1.6,-0.01,59.979,91.64277,1.00844806449509,-82.03008,1.01601970879856,0.00336,59.98031,-65.02196,2.65270474914593,-72.53729,1.04283234574622,-0.00866,59.97813,126.84721,0.604562336984655,28.75226,1.02106922258681
1.633,0,59.98,91.39656,1.00621307982658,-82.27263,1.01591395228646,-0.00027,59.98005,-65.25774,2.65332728457923,-72.7761,1.04273758318816,-0.00909,59.97787,126.94954,0.604405836667912,28.48728,1.02103534186566
1.667,0,59.98,91.09763,1.00840073793883,-82.51519,1.01590342247185,-0.00127,59.97982,-65.50588,2.65402391714609,-73.01736,1.04268706614411,-0.00483,59.97848,126.96242,0.604482144764316,28.22579,1.02104343079395
1.7,-0.01,59.979,90.93201,1.00625090521814,-82.75583,1.0158717309625,-0.0056,59.97914,-65.75166,2.65368850810528,-73.26528,1.04260693464595,0.00049,59.97926,126.83562,0.604881552216439,27.97352,1.02106538260507
1.733,0,59.979,90.63554,1.00701422520519,-83.0022,1.01587173101271,-0.01384,59.97823,-65.97847,2.65167808555602,-73.52372,1.042394845376,0.00618,59.97983,126.54301,0.605178000506384,27.72899,1.02106851535784
1.767,-0.01,59.978,90.50582,1.00113437863516,-83.24857,1.01575550277246,-0.01211,59.97829,-66.21075,2.64959087686433,-73.78543,1.04223288431724,0.01271,59.98026,126.07176,0.605010206352349,27.49041,1.02104502598765
1.8,0,59.979,90.22765,1.00113240669532,-83.50067,1.01571324740993,-0.00599,59.97905,-66.45742,2.64913141488059,-74.0388,1.04217596455911,0.01344,59.98011,125.6037,0.604817912339642,27.25283,1.02100182718458
1.833,0,59.978,89.97098,0.999691516226578,-83.75277,1.01567096589093,0.00027,59.97986,-66.70791,2.65007776673865,-74.28288,1.04217553300233,0.00856,59.9799,125.31507,0.605081196186748,27.01227,1.0209917710482
1.867,0,59.978,89.76835,0.999674904127283,-83.99915,1.0156498120783,0.00969,59.98075,-66.96713,2.65222831652837,-74.51581,1.04225115418998,0.00478,59.98005,125.12289,0.60544881357835,26.77215,1.02102118071867
1.9,0.01,59.979,89.49854,1.00554423368481,-84.2417,1.01563928000448,0.01216,59.98025,-67.21086,2.6540198537549,-74.74985,1.04219559622541,0.00101,59.98,124.89677,0.60570110236693,26.5326,1.0210464473236
1.933,-0.01,59.978,89.36932,1.00405709226335,-84.48998,1.0156180865806,0.00547,59.9792,-67.43071,2.65433404950344,-74.99667,1.04200989683299,-0.00157,59.98,124.60335,0.605899790245193,26.29233,1.02104236917232
1.967,0.01,59.979,89.18491,1.00403892651448,-84.73826,1.01562871057861,0.00245,59.97945,-67.66533,2.65440468080332,-75.2447,1.04195438927362,0.00108,59.9803,124.26546,0.605902359742566,26.0545,1.02102358234517
2,0,59.979,88.91814,1.0025699508419,-84.98082,1.01564980891542,0.00036,59.97992,-67.92935,2.65485111603295,-75.48648,1.0420675444541,0.00199,59.98024,123.98028,0.605887898850374,25.81818,1.0210263264659
2.033,0,59.979,88.65503,1.00404854719069,-85.22146,1.01570271533612,-0.0082,59.97938,-68.18838,2.65463211119871,-75.732,1.04213347745321,-0.0019,59.97974,123.79537,0.605951060681148,25.57717,1.02105761388026
2.067,0,59.979,88.44656,1.00260580429362,-85.47165,1.01570268355675,-0.00412,59.97956,-68.43746,2.6543509603815,-75.97901,1.04219874137866,1e-05,59.98,123.56,0.605780756785494,25.33528,1.02113505783801
2.1,0,59.979,88.19017,1.00334737318662,-85.72375,1.01575550272225,0.00832,59.98058,-68.69451,2.65546863198301,-76.21507,1.0423729580775,0.00346,59.98057,123.15164,0.60529488275898,25.10001,1.02121600942457
2.133,0,59.979,87.91224,1.00699838993068,-85.95294,1.01577663047882,0.00783,59.98076,-68.94258,2.65688077993463,-76.44529,1.04247404819369,0.00149,59.98054,122.66617,0.60474602616895,24.867,1.02124174508894
2.167,0,59.979,87.6113,1.00843193044182,-86.20313,1.01582947660407,0.00212,59.98027,-69.16601,2.65731550303669,-76.68022,1.04239079543957,0.00088,59.98038,122.22072,0.604337774865403,24.63225,1.02122263303788
2.2,0,59.979,87.53005,1.00770314927993,-86.43231,1.01577659633985,0.0023,59.97976,-69.38154,2.65699551098012,-76.92179,1.0422492812155,0.00198,59.98007,121.86964,0.604098094540677,24.39476,1.0212011916044
2.233,0,59.979,87.23846,1.00843384262591,-86.67486,1.01579775808478,-0.00072,59.97944,-69.59483,2.6562943967318,-77.1678,1.04208164374931,-0.00305,59.9795,121.61941,0.603919006549352,24.15138,1.02120421345571
2.267,0,59.979,87.0741,1.00765910929007,-86.91932,1.01578716024323,-0.00582,59.97961,-69.81818,2.65582107141339,-77.41294,1.04196999319383,-0.0097,59.97896,121.45114,0.603829910721837,23.90107,1.02120154062519
2.3,0,59.98,86.87512,1.00625036741637,-87.15997,1.01577663394292,-0.0035,59.98017,-70.06583,2.65623290806211,-77.65258,1.04200378831653,-0.01075,59.97875,121.34311,0.603884945770222,23.64678,1.02117816331115
2.333,0,59.979,86.68588,1.00623578701267,-87.40252,1.01575550267205,0.00357,59.98087,-70.32485,2.65736103692037,-77.88417,1.04211949749379,-0.00854,59.97896,121.2693,0.604092656767167,23.39314,1.02115789952161
2.367,0,59.98,86.37371,1.00839816844146,-87.63743,1.01575550272225,0.00568,59.98071,-70.5688,2.65782109646165,-78.11371,1.04215025329406,-0.00488,59.97926,121.2099,0.604486745957286,23.14299,1.02114194843817
