Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m
188.533,-0.00262,59.99365,-46.39426,0.839649236988198,-99.40605,1.02362064553272,0,59.994,-32.83775,4.31294627695437,145.40293,1.02621191177214,0,59.994,-20.91398,2.70641680516268,149.37364,1.01779374491934
188.567,-0.00338,59.99348,-46.4183,0.838950692237251,-99.48369,1.02357099275692,0,59.994,-32.90705,4.31364774973721,145.33798,1.02623307065542,0,59.994,-20.98744,2.70861515955469,149.31634,1.01782546243454
188.6,-0.00334,59.99361,-46.45681,0.838445696369822,-99.56121,1.0235231143542,0,59.993,-32.9879,4.3129510574146,145.26349,1.02622250690265,-0.01,59.993,-21.0574,2.7100721840767,149.23803,1.01778312800013
188.633,-0.00165,59.99395,-46.51126,0.838304613037317,-99.63536,1.02348203392458,0,59.993,-33.0575,4.31365952162052,145.1871,1.02618011262463,-0.01,59.993,-21.11509,2.7093349175979,149.16547,1.01770915662854
188.667,0.0013,59.9942,-46.55363,0.838145483467448,-99.70601,1.02347143081158,0,59.994,-33.14998,4.31512957289666,145.11453,1.02614856048262,0,59.994,-21.18815,2.71079504941906,149.09288,1.01767738469179
188.7,0.00482,59.99445,-46.58869,0.838005296471236,-99.77377,1.02351140272869,0,59.994,-33.2129,4.31508529388379,145.04769,1.02612740164955,0,59.994,-21.24337,2.70933384199435,149.02222,1.01762456291566
188.733,0.00648,59.99457,-46.65244,0.838182591789975,-99.83928,1.0235818781691,0,59.993,-33.30193,4.3151878347557,144.96938,1.02612729371015,0,59.993,-21.34423,2.71080562618732,148.94774,1.01768800266529
188.767,0.00545,59.99453,-46.73502,0.838482446157832,-99.90481,1.02362155799717,0,59.993,-33.36836,4.31222896889703,144.89299,1.02613796540232,0,59.993,-21.42816,2.71297045760197,148.87325,1.01769856636785
188.8,0.00487,59.99476,-46.84483,0.838903963238514,-99.96902,1.02364250014818,0,59.993,-33.44291,4.31224976389902,144.8185,1.0261379652015,0,59.994,-21.50124,2.71370545336216,148.80832,1.01774087273802
188.833,0.00484,59.99501,-46.9826,0.839671406372509,-100.02979,1.02369917822247,0,59.993,-33.52098,4.31298505843798,144.74784,1.0261483891351,0,59.994,-21.58773,2.71445491001455,148.73574,1.0177408174128
188.867,0.00142,59.99469,-47.09621,0.840562782937939,-100.09178,1.02377370545687,0,59.993,-33.59737,4.31224862853972,144.66571,1.02616954882165,0,59.994,-21.65162,2.71445741975617,148.6689,1.0177619214227
188.9,-0.00061,59.99446,-47.19795,0.841388547686727,-100.15759,1.02382996763815,0,59.993,-33.67839,4.31148058784819,144.59122,1.02619067662842,0,59.993,-21.74273,2.7151744887905,148.58678,1.01780420033108
188.933,0.00014,59.99455,-47.33281,0.842255185370472,-100.22327,1.02386451366763,0,59.993,-33.75183,4.31075730421556,144.50911,1.02622247562532,0,59.994,-21.80035,2.71298264777555,148.52184,1.01786766473104
188.967,-0.00424,59.99405,-47.4632,0.842937954602663,-100.29198,1.02388087989101,0,59.993,-33.82455,4.31002714867135,144.43652,1.02622236753531,0,59.993,-21.90225,2.71446255875091,148.43398,1.0178676872226
189,-0.0084,59.99361,-47.55539,0.843353914398329,-100.36716,1.02388298661705,0,59.993,-33.91405,4.31150699989096,144.35058,1.02623293163952,0,59.993,-21.96438,2.71517586317282,148.36141,1.01787822838341
189.033,-0.00512,59.99384,-47.64682,0.843881856474857,-100.44242,1.02387399963296,0,59.993,-34.00101,4.31002380234919,144.2742,1.02621191202316,-0.01,59.992,-22.02615,2.71590243337186,148.2812,1.01785710092807
189.067,-0.00314,59.99395,-47.72766,0.84435852811543,-100.51523,1.02385982367568,0,59.993,-34.07116,4.31002834378641,144.19971,1.02626475724473,0,59.993,-22.10461,2.71592352715261,148.19334,1.01781484185042
189.1,-0.00589,59.99357,-47.76642,0.844337733113435,-100.59056,1.02385256055909,0,59.993,-34.14555,4.30924638000447,144.13096,1.02631762822114,0,59.993,-22.16696,2.7144571209774,148.12077,1.01783594711543
189.133,-0.00372,59.99343,-47.7878,0.843969816943069,-100.66916,1.02387964079693,0,59.993,-34.22385,4.30858554113358,144.05265,1.02632805792825,0,59.993,-22.24542,2.71517580341706,148.03864,1.0178676872226
189.167,0.00026,59.99365,-47.82274,0.843665899184017,-100.74631,1.02392499437161,0,59.993,-34.30978,4.30785472827609,143.97053,1.02637044718583,0,59.993,-22.30672,2.71298910139686,147.96034,1.01790994614964
189.2,-0.00258,59.9934,-47.88534,0.843537603582624,-100.82386,1.0239329535216,0,59.993,-34.38829,4.30565529828053,143.89605,1.02643382995349,0,59.993,-22.38188,2.71226761043682,147.88967,1.01793109629735
189.233,-0.00622,59.9929,-47.95686,0.843265535639848,-100.90688,1.02391838521716,0,59.993,-34.47807,4.30784893196806,143.81583,1.0264232660501,0,59.992,-22.4688,2.71222990455676,147.79991,1.01794163750836
189.267,-0.00363,59.99296,-47.98767,0.842643836787081,-100.99208,1.02394937436735,0,59.993,-34.55895,4.3085129976496,143.73753,1.02642340406192,0,59.993,-22.54493,2.71226533971821,147.7197,1.01792051000282
189.3,-0.0008,59.9933,-47.97251,0.841921090956225,-101.07392,1.02400673351414,0,59.993,-34.64242,4.30928611758012,143.6573,1.02648654077796,0,59.993,-22.62683,2.71371848011629,147.63566,1.01796270993972
189.333,-0.00104,59.99348,-47.95114,0.84128941289273,-101.15288,1.02403820457608,0,59.993,-34.71474,4.30857890824501,143.58092,1.02650777637351,0,59.993,-22.72485,2.71371065211266,147.55736,1.0180050429182
189.367,0.00121,59.99361,-47.95656,0.840825110692999,-101.23026,1.02404242591023,0,59.994,-34.79542,4.30930762965115,143.51216,1.02655003158542,0,59.993,-22.7883,2.71371836060478,147.48479,1.01802617438989
